title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
Google Pixel 9 Pro Fold Is So Good! But…,2024-09-26 22:29:28+00:00,11.916666666666666,3702332,90140,8605,0.026671027881886335,Thursday,22,2024-09,Thursday,22,40,3
iPhone 16/16 Pro Review: Times Have Changed!,2024-09-23 23:23:20+00:00,20.683333333333334,7430206,182758,19170,0.02717663547955467,Monday,23,2024-09,Monday,23,44,0
iPhone 16/16 Pro Unboxing: End of an Era!,2024-09-18 12:01:27+00:00,11.35,6878947,191960,12240,0.029684775882122656,Wednesday,12,2024-09,Wednesday,12,41,2
Apple Watch Series 10 Review: This is It?,2024-09-17 12:03:18+00:00,8.766666666666667,4517181,105861,5486,0.024649665355450667,Tuesday,12,2024-09,Tuesday,12,41,1
AirPods 4 Review: Which Ones To Get?,2024-09-16 12:05:08+00:00,11.433333333333334,3593878,103121,3822,0.029756992307473987,Monday,12,2024-09,Monday,12,36,0
iPhone 16/Pro Impressions: The Great Separation!,2024-09-10 11:12:09+00:00,16.233333333333334,11107364,311627,22120,0.03004736317275638,Tuesday,11,2024-09,Tuesday,11,48,1
I'm Taking a Break,2024-08-31 21:50:47+00:00,18.883333333333333,3225884,121003,6477,0.03951784999088622,Saturday,21,2024-08,Saturday,21,18,5
"This ""Phone"" is Bad... Which Makes it Better?",2024-08-30 12:49:57+00:00,9.6,3649730,103388,6339,0.030064415723902865,Friday,12,2024-08,Friday,12,45,4
Dyson is Back… Why Do These Exist?,2024-08-26 22:32:36+00:00,10.666666666666666,4555019,112195,3843,0.025474756526811415,Monday,22,2024-08,Monday,22,34,0
Google Pixel 9/Pro Review: Gimmick or Good?,2024-08-21 17:01:43+00:00,24.083333333333332,6861398,167350,9633,0.025794014572540463,Wednesday,17,2024-08,Wednesday,17,43,2
Google Pixel 9/Pro/Fold Impressions: They've Finally Done It?,2024-08-13 17:00:45+00:00,13.416666666666666,7139949,224271,11016,0.03295359672737158,Tuesday,17,2024-08,Tuesday,17,61,1
What's going on with Windows Laptops?,2024-08-03 02:13:54+00:00,10.5,4760978,123870,4617,0.026987522311592283,Saturday,2,2024-08,Saturday,2,37,5
The Electric VW bus is LOADED,2024-07-31 21:19:01+00:00,0.85,9822184,425908,7484,0.04412379161294474,Wednesday,21,2024-07,Wednesday,21,29,2
This is the New Siri!,2024-07-30 15:36:43+00:00,0.9833333333333333,3146232,137246,2138,0.04430188237866756,Tuesday,15,2024-07,Tuesday,15,21,1
My FBI Declassified Story,2024-07-26 18:14:38+00:00,9.433333333333334,7310166,321961,8055,0.0451448024572903,Friday,18,2024-07,Friday,18,25,4
When Companies Copy Each Other...,2024-07-23 22:15:53+00:00,9.183333333333334,2707149,92024,6088,0.03624181749877824,Tuesday,22,2024-07,Tuesday,22,33,1
Samsung Galaxy Ring Review: I Wanted to Love It!,2024-07-19 00:56:54+00:00,11.25,3834262,105985,4526,0.028821974085234656,Friday,0,2024-07,Friday,0,48,4
